678553.pdf,2019-07-01,13860.0,                          Brit-Sec Limited,,
J0KVC0.PDF,2019-03-04,218.54,                          One Direct Maintenance Limited,Suttons Wharf South,
J0KWER.PDF,2019-02-27,65.09,                          One Direct Maintenance Limited,Suttons Wharf South,
J0KXHQ.PDF,2019-02-20,829.66,                          One Direct Maintenance Limited,Suttons Wharf South,
J0KYGU.PDF,2019-02-22,506.88,                          One Direct Maintenance Limited,Suttons Wharf South,
J0KYVA.PDF,2019-02-28,35.7,                          One Direct Maintenance Limited,Suttons Wharf South,
J0L2WL.PDF,2019-03-06,472.45,                          One Direct Maintenance Limited,Suttons Wharf South,MD05172 - [ 50417 ]-Gas | Clean Xpot and install flow meter to Xpot £472.45
J0L72K.PDF,2019-03-15,73.05,                          One Direct Maintenance Limited,Suttons Wharf South,MD05001 - [ 50100 ] - Communal window on 5th floor near lift lobby is £ 73.05 Communal Repairs General | stuck on open and cant be closed. Reported by Building - Responsive concierge Maria 9
J0L72N.PDF,2019-03-26,194.77,                          One Direct Maintenance Limited,Suttons Wharf South,
J0L75P.PDF,2019-03-07,165.31,                          One Direct Maintenance Limited,Suttons Wharf South,
J0L8X7.PDF,2019-03-13,154.22,                          One Direct Maintenance Limited,Suttons Wharf South,
